$ python tools/unitytex17.py list Monstrum/Monstrum_Data
NAME                                         W     H FORMAT   MIPS       BYTES CLOSE ARITH  WHERE
                                            64    64 ARGB32      1       16384 yes   yes    inline
ProGen_Upd_Cor_Nor_03                     2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+191070188
Upd_Misc_Minidragonhead01_01_Dif           512   512 DXT5       10      349552 yes   yes    sharedassets1.assets.resS+196662620
Lwd_ControlRm_ControlUnitSmall01_01_Norm  2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+197012172
ProGen_Upd_Rm_Window_03_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+202604604
KitchenCubeMap2                             64    64 ARGB32      1       16384 yes   yes    sharedassets1.assets.resS+204002732
Default-Particle                            64    64 RGBA32      7       21844 yes   yes    sharedassets2.assets.resS+0
StarryNight_back                          1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+21844
ProGen_Vent01_01_Dif                      1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+1419972
Misc_MetalThreading01_02_Norm              128   128 DXT5        8       21872 yes   yes    sharedassets2.assets.resS+2818100
Fireball                                  1024   512 DXT5       11      699088 yes   yes    sharedassets2.assets.resS+2839972
Upd_Rm_WallLight_01_Norm                  1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+3539060
Upd_Misc_Calender01_01_Dif                1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+4937188
Upd_Misc_LargePaper_01_Dirty_Dif          1024  1024 DXT1       11      699064 yes   yes    sharedassets2.assets.resS+6335316
Upd_Bathroom_Mirror01_02_Dif               512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+7034380
Upd_Deck_RopePile01_01_Norm               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+7383932
Upd_Misc_Poster_01_01_Dif                 2048  2048 DXT1       12     2796216 yes   yes    sharedassets2.assets.resS+8782060
Lwd_Container_WashingMachine01_01_Norm    1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+11578276
Upd_Rm_WallLight_01_Dif                   1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+12976404
ProGen_Lwd_Container_RiceBag_Norm          512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+14374532
firemap2                                  1024  1024 DXT5        1     1048576 yes   yes    sharedassets2.assets.resS+14724084
Misc_Cable01_01_Norm                      1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+15772660
Upd_Kitchen_FridgeWall01_01_Dif            512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+17170788
Upd_Bunk_HighTable01_01_Norm              1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+17520340
Upd_Misc_DeckNumber3_02_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+18918468
Misc_PaintedMetal18_01_Norm               2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+20316596
Upd_Misc_CardboardBox04_01_Norm           1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+25909028
Upd_Rm_Ceilinglight01Base_01_Norm         1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+27307156
Misc_LightCover01_02_Norm                  512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+28705284
Upd_Cor_DoorSign_Security01_02_Dif        1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+29054836
Key_WalkieTalkie01_01_Norm                1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+30452964
Misc_StampedMetal03_01_Dif                1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+31851092
Upd_Cor_DoorSign_Kitchen01_01_Dif         1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+33249220
Misc_LowerDeck02_Map01_02_Dif             1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+34647348
Misc_PaintedMetal13_02_Dif                2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+36045476
ProGen_Upd_Cor_FuseBox_Norm02             2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+41637908
Misc_Metal03_01_Dif                       2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+47230340
Lwd_Sub_SubWindows01_01_Norm              1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+52822772
UI_Interactable_SubBattery                 363   363 RGBA32      1      527076 yes   yes    sharedassets2.assets.resS+54220900
Lwd_Workshop_Tools02_01_Norm              1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+54747976
Upd_Misc_Fan01_03_Dif                     1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+56146104
Key_Lighter01_01_Norm                      512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+57544232
ProGen_Upd_Rm_Window_01_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+57893784
Heli_DoorLock01_01_Dif                     256   256 DXT5        9       87408 yes   yes    sharedassets2.assets.resS+59291912
Misc_BumpedFloor01_01_Norm                1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+59379320
Note9                                     2048  2048 DXT5        1     4194304 yes   yes    sharedassets2.assets.resS+60777448
Upd_Mess_Plate_Small_01_Norm              2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+64971752
Misc_Metal02_01_Dif                       2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+70564184
Misc_RustGreen01_01_Norm                  1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+76156616
Upd_Deck_FixedChainSpool01_01_Norm        1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+77554744
Upd_Misc_DeckNumber7_02_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+78952872
Upd_Misc_DeckNumber4_02_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+80351000
Note5                                     2048  2048 DXT5        1     4194304 yes   yes    sharedassets2.assets.resS+81749128
Misc_Stairs02_01_Dif                      1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+85943432
UI_Interactable_Lighter                    363   363 RGBA32      1      527076 yes   yes    sharedassets2.assets.resS+87341560
UI_Interactable_GlowStick                  363   363 RGBA32      1      527076 yes   yes    sharedassets2.assets.resS+87868636
Key_FlareGun01_01_Dif                     1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+88395712
ProGen_Upd_Cor_Fuse_Dif_01                1024  1024 DXT1       11      699064 yes   yes    sharedassets2.assets.resS+89793840
Lwd_Sub_SubRust01_01_Norm                 2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+90492904
ProGen_Upd_Cor_FuseBox_Dif                2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+96085336
UI_Interactable_HeliKey                    363   363 RGBA32      1      527076 yes   yes    sharedassets2.assets.resS+101677768
Upd_Misc_Bottle_02_Dif                    1024  1024 DXT1       11      699064 yes   yes    sharedassets2.assets.resS+102204844
Upd_Bunk_PhotoFrame01_01_Dif              1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+102903908
ProGen_Upd_Bathroom_Pipes_Normals         1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+104302036
Upd_Bathroom_Sink01_04_Norm               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+105700164
Upd_Bunk_PaperTray01_01_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+107098292
ProGen_Lwd_Cor_Spec                       2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+108496420
Misc_PaintedMetal03_01_Dif                2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+114088852
Upd_Bunk_Locker01_03_Norm                 2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+119681284
Key_DuctTape01_02_Norm                    1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+125273716
Heli_FuelNozzle01_01_Norm                  512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+126671844
Spark 1                                    512   512 DXT1       10      174776 yes   yes    sharedassets2.assets.resS+127021396
UI_Interactable_Pump                       363   363 RGBA32      1      527076 yes   yes    sharedassets2.assets.resS+127196172
Upd_Kitchen_Worktop01_04_Dif              2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+127723248
Upd_Misc_Tin_02_Label_Norm                1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+133315680
Upd_Comm_DAS3LorenReciever_01_01_Norms    1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+134713808
Upd_Misc_DeckNumberBase01_01_Norm         1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+136111936
Upd_Cor_FuseBox01_02_Norm                 1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+137510064
mystery                                    256   256 RGBA32      1      262144 yes   yes    sharedassets2.assets.resS+138908192
Upd_Mess_BenchTable01_01_Dif              2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+139170336
gloopanim                                 2048  2048 DXT5        1     4194304 yes   yes    sharedassets2.assets.resS+144762768
Misc_StorageBox01_01_Dif                  1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+148957072
ShipExterior_MainDeckLocker01_01_Norm     1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+150355200
Lwd_ControlRm_Buttons01_02_Dif            1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+151753328
Upd_Misc_DeckNumber6_02_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+153151456
Upd_Misc_PlayingCards01_01_Norm           1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+154549584
Story_Note_Voices02                       2048  2048 DXT5        1     4194304 yes   yes    sharedassets2.assets.resS+155947712
Upd_Bunk_Bed01_03_Dif                     2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+160142016
Flashlight                                 256   256 DXT5        9       87408 yes   yes    sharedassets2.assets.resS+165734448
Key_WeldingKit01_02_Norm                  2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+165821856
Upd_Bunk_BedCurtains02_01_Dif             1024  1024 DXT1       11      699064 yes   yes    sharedassets2.assets.resS+171414288
Waterbump                                  512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+172113352
UI_Interactable_Radio                      363   363 RGBA32      1      527076 yes   yes    sharedassets2.assets.resS+172462904
ProGen_Upd_Bridge_Default01_Norm          2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+172989980
Upd_Bunk_Mattress_Norm                    1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+178582412
Misc_MetalThreading01_02_Dif               128   128 DXT5        8       21872 yes   yes    sharedassets2.assets.resS+179980540
Upd_Deck_Palette01_01_Dif                 1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+180002412
distraction                                256   256 RGBA32      9      349524 yes   yes    sharedassets2.assets.resS+181400540
Upd_Comm_RBS_Reciever_01_Norms            1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+181750064
ProGen_Lwd_Engine_ControlRoomFloor_01_Di  1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+183148192
ProGen_Lwd_Cor_Diffuse                    2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+184546320
Upd_Rm_LightSwitch01_02_Dif                512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+190138752
Misc_FirstAidBox01_02_Dif                  256   256 DXT5        9       87408 yes   yes    sharedassets2.assets.resS+190488304
Upd_Security_SecurityTables_01_Norm       2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+190575712
Upd_Deck_WoodenBox01_01_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+196168144
ceilingbulbtex                             128   128 DXT1        8       10936 yes   yes    sharedassets2.assets.resS+197566272
Misc_PaintedMetal14_Rust_01_Dif           1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+197577208
ProGen_Upd_Door_Lockable01_02_Dif         2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+198975336
Upd_Misc_BinLarge01_02_Dif                1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+204567768
ProGen_Cargo_Container_RedFront_Dif       2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+205965896
Misc_ChippedPaint01_01_Norm               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+211558328
Upd_Deck_ExteriorLightTall_Normals01_01   1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+212956456
StarryNight_up                            1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+214354584
Misc_PaintedMetal05_01_Norm               2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+215752712
Misc_BumpedFloor01_01_Dif                 1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+221345144
Misc_Bolt01_01_Norm                        128   128 DXT5        8       21872 yes   yes    sharedassets2.assets.resS+222743272
ShipExterior_ExteriorWalls03_02_Dif       2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+222765144
Upd_Mess_PicturesLarge01_03_Dif           1024  1024 DXT1       11      699064 yes   yes    sharedassets2.assets.resS+228357576
Upd_Misc_Tin_02_NoLabel_Dif               1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+229056640
Upd_Bathroom_Toilet01_Bot_03_Dif          1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+230454768
ProGen_Lwd_Cor_Normal                     2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+231852896
Upd_Kitchen_Ornament01_02_Norm            1024  1024 DXT5       11     1398128 yes   yes    sharedassets2.assets.resS+237445328
Upd_Deck_DavitCtrl_Diffuse                2048  2048 DXT5       12     5592432 yes   yes    sharedassets2.assets.resS+238843456
Story_Note_ChefToQM                       2048  2048 DXT5        1     4194304 yes   yes    sharedassets2.assets.resS+244435888
CassettePlayer01_04_N [512x512]            512   512 DXT5       10      349552 yes   yes    sharedassets2.assets.resS+248630192
Story_Note_Voices03                       2048  2048 DXT5        1     4194304 yes   yes    sharedassets2.assets.resS+248979744
fire                                       256   256 RGBA32      9      349524 yes   yes    sharedassets2.assets.resS+253174048
smokeTrans                                 256   256 RGBA32      1      262144 yes   yes    sharedassets2.assets.resS+253523572
